Abel António de Guimarães Coelho
Acácio Carlos da Silva Magalhães
Alberto Joaquim de Sampaio Pinto
Albino Monteiro de Magalhães
Amadeu Clemente Teixeira
Amadeu Fernando da Costa Monteiro de Magalhães
André da Silva Ribeiro e Costa Magalhães
António de Carvalho Júnior
António José Cerqueira Dinis de Mesquita
António Ferreira Soares Araújo
António de Magalhães Antunes
António Osório Bougarth Loureiro Barbosa
Armindo José da Cunha Abreu
Avelino Ferreira Torres
Avelino Marinho Brás Pinheiro
Avelino Teixeira Carmo
Carlos Alberto Teixeira Gonçalves da Silva
Carlos Gonçalo Teixeira Pereira
Daniel Ribeiro de Carvalho
Eduardo Jorge de Medeiros Pinto
Fernando Albino Vieira
Fernando Augusto Pinheiro de Sousa
Fernão Querubim da Silva Pereira
Hélder José Magalhães Ferreira
Hernâni Pinto Carneiro
Ilídio Agostinho Pereira Figueiredo
João do Lago Vasconcelos Mota
Joaquim José Macedo Teixeira
Joaquim Magalhães
Joaquim Pinto Madureira
Jorge José de Magalhães Mendes
José Lino da Silva Vieira Pinto
José Luís Gaspar Jorge
José Morais Clemente Teixeira
Lucinda Silva Fonseca Moreira
Luís Alves Ferreira
Luís Manuel Morais Leite Ramos
Manuel Antunes de Magalhães
Manuel Cardoso de Carvalho
Maria Bernardete da Silva Moreira Magalhães
Maria José Quintela Ferreira Castelo Branco
Maria do Rosário de Magalhães Loureiro
Octávia Manuel da Rocha e Freitas Morais Clemente
Orlandino de Abreu Teixeira Varejão
Pedro Leonel Dias Marques da Cunha
Pedro Manuel Barros Pereira
Raimundo de Magalhães Carvalho
Ricardo Jorge Martins Ribeiro
Rui Brás de Sequeira Amaral
