Adriano Soares Natal 
Agostinho Correia Bastos Pereira 
Albano Dinis de Mesquita 
Alberto Carlos da Costa Peixoto
Alberto Cerqueira Dias Brochado
Alberto Rosas Pereira Carvalhal 
Alexandre Luís de Carvalho Cerqueira 
Alexandrino de Melo Matias Magalhães
Alfredo Alves Guerra 
Alfredo José Correia Martins 
Alfredo Pinto Soares 
Álvaro Augusto de Magalhães 
António Aurélio Babo de Magalhães
António de Oliveira Martins
António Gomes Pereira 
António Guedes de Vasconcelos
António Guerreiro Peixoto e Cunha 
António Pinto Marques 
António Ribeiro Macário
António Soares Mendes
António Teixeira de Sousa 
Artur de Jesus Fernandes 
Artur de Melo Matias Magalhães 
Artur Rebelo de Sousa Pereira 
Eduardo Vieira de Miranda Faria
Guilherme Telles Osório de Sousa Basto
Henrique Carlos Sottomayor
Ilídio Ribeiro Covelo Sardoeira
João Pereira Teixeira de Vasconcelos 
João Ribeiro Batista Montes
Joaquim Ferreira P. Maia 
Joaquim Pereira
Joaquim Pinheiro Cardoso
José Augusto de Matos 
José de Magalhães e Menezes 
José Gomes da Silva 
José Gomes Fernandes Martins
José Gonçalves de Abreu
José Lino da Silva Vieira Pinto 
José Maria Alves Vieira
José Monteiro Pereira Carvalhal
José Ribeiro Soares
Justino da Silva Cunha 
Manuel Guedes Vieira 
Manuel Ribeiro Macário
Manuel Rodrigues Pinheiro
Manuel van Zeller de Macedo da Cunha Coutinho 
Maria José Teixeira de Vasconcelos do Lago Cerqueira
Rodrigo de Oliveira Carvalho
Vasco Guedes de Meneses e Queirós
