Adolfo Augusto de Magalhães
Alfredo Osório
Álvaro Pereira Teixeira de Vasconcelos 
António Balbino de Carvalho 
António do Lago Cerqueira 
António Pinheiro de Magalhães 
António Teixeira Pinto 
Artur Alfredo da Mota Alves 
Artur Teixeira de Bessa 
Augusto Ferreira de Almeida 
Augusto Teixeira de Magalhães 
Aurélio Cardoso Lopes 
Bento Correia de Magalhães
Gonçalo Teixeira Machado de Moura 
João Falcão de Gouveia Magalhães 
João Pereira da Silva
Joaquim Alves de Moura Teixeira
José da Silva Costa 
José Falcão de Sousa e Castro 
José Martins Branco
José Teixeira Pinto da Fonseca 
Júlio Braga da Naya e Silva 
Manuel Duarte Cardoso 
Manuel Joaquim Cerqueira
Miguel Albano Cerqueira Coimbra
Rodrigo da Silva Cunha
Rodrigo Ferreira da Cunha
Rodrigo Francisco da Silva 
Romão José da Cruz 
Rui Vieira de Mello da Cunha Osório 
Torquato Teixeira Soares 
