A Voz de Amarante
Bancada Cativa
Clarim do Tâmega
Ecos do Marão
Expresso de Amarante
Flor do Tâmega
Jornal de Amarante
Jornal da Terra
Jornal de Vila Meã
Linha do Tâmega
Notícias de Amarante
Notícias do Tâmega
Nova Tribuna de Amarante
Notícias de Figueiró
O Alarme
O Amarantino
O Eclético
O Jornal de Amarante
O Melro
O Pirolito
O Republicano
Progresso do Marão
Repórter do Marão
Riba Tâmega
Sem Margens
Tâmega Jornal
Tribuna de Amarante
