Festa em Honra de S. Brás – Telões / 1º fim de semana de fevereiro
Festa em Honra da Nossa Senhora do Rosário – Telões / 1º domingo de agosto
Festa em Honra da Nossa Senhora de Fátima – Telões / Último domingo de agosto
