Albano Quintino Granja Tamegão
Armindo José da Cunha Abreu
Celso Pimenta de Freitas
Francisco José Pereira de Assis Miranda
Joaquim Magalhães
Manuel Antunes de Magalhães
Manuel Vieira Alves Cerqueira
Pedro Leonel Dias Marques da Cunha 
