Adelino Raul Barros Barreira
Alberto Paulo Madureira Mendes
Alexandre Maria Pinheiro Torres
Anabela Borges
Aníbal Rodrigues
António Aurélio de Macedo Patrício  
António Balbino Peixoto de Carvalho
António Bernardino da Fonseca
António Brochado Rodrigues
António Cardoso
António Fernandes da Fonseca
António José da Silva Costa
António José Queirós
António Magalhães 
António Pedro Carneiro de Miranda
António Peixoto da Costa Neves
António Teixeira de Queirós
Armando Mendes
Augusto de Miranda Pinho
Carlos Alberto Pacheco Moreira
Carlos Alberto Teixeira Gonçalves da Silva
Carmindo Rodrigues Ferreira
Cristina Teixeira Pinto
Dionísia Alexandra Pereira de Carvalho
Edgar Nogueira
Eduardo Teixeira Pinto
Emília Gonçalves
Ernesto Nogueira Carneiro
Fernando Antero de Magalhães Brochado
Fernando de Soares Gonçalves
Fernando José Martins dos Reis
Filipe Augusto Silva
Francisco de Babo
Goreti Sampaio Pinto
Henrique António Teixeira de Sousa Carvalho
Hugo da Silveira Pinto de Magalhães
Hugo Teixeira
Ilídio Ribeiro Covelo Sardoeira
João de Almeida Mendes
Joaquim Arménio Cerqueira de Miranda
Joaquim Freitas
Joaquim Macedo Gonçalves
Joaquim Teixeira Pinto
José Emanuel Queirós
José Gonçalves de Abreu
José Joaquim Correia da Silva
José Luís Coelho Lopes Gonçalves
José Teixeira dos Santos
Juliana Miranda
Luís Carlos Teixeira Coelho
Luís de Morais Coutinho
Luís Manuel Coutinho Gomes Amaral
Luís Manuel Morais Leite Ramos
Luís Miguel Magalhães Ribeiro
Luís van Zeller Macedo
Manuel da Silva Faria
Manuel de Sequeira Amaral
Manuel Nunes Ferreira
Maria Agustina Ferreira Teixeira Bessa
Maria Celeste Natário
Maria da Conceição Vaz Guedes de Sousa Bacelar
Maria de Lassalete de Freitas Ribeiro 
Maria do Carmo Silva
Maria dos Prazeres Teixeira de Vasconcelos Carvalhal Lobo da Silveira
Maria Eulália de Macedo
Maria José Queirós Lopes
Maria Rosa Pinto da Cunha
Marta Sofia Flores Pinha
Miguel Alexandre Carvalho
Norberto Lopes Pinto
Nuno Meireles
Nuno Miguel Oliveira de Sousa Queirós
Paulo Sardoeira
Pedro Manuel Barros Pereira
Pedro Varejão Alves Pinto
Regina Sardoeira
Rodrigo da Cunha
Rolando Cerqueira Miranda
Rui Coelho dos Santos
Verónica Teixeira Pinto
