Alberto de São Gonçalo
Alexandre da Paixão
António da Expectação
António de Guadalupe
António Peixoto de Magalhães
Domingos Pereira Bracamonte
Fernão de Queirós
Gonçalo Pinto de Magalhães
João de Deus
João Guedes
João Mendes de Vasconcelos e Queirós
José Joaquim da Imaculada Conceição Amarante
Josefa Maria da Madre de Deus
Luís de Magalhães Coelho
Manuel de S. Dâmaso
Manuel Moreira Teixeira
Manuel Veloso
Paulo da Silva de Matos
Pedro Pinto
