António Carlos de Sousa Laranjeira Lima – Taí
António Coelho Pinto
Delfim José Fernandes Rola Teixeira
Nuno Miguel Soares Pereira Ribeiro – Nuno Gomes
Joaquim Queirós
Ricardo Alberto Silveira de Carvalho
