António de Sousa
Diogo Cabral Barbosa
Francisco Cerqueira
Gaspar Cerqueira Coelho
Guiomar dos Anjos
João Guedes
Matias de Sousa
Miguel Cerqueira Doce
Raimundo Veloso
Zacarias Osório 
