Aboadela Futebol Clube
Academia de Dança de Amarante
Académico de Amarante Sport Clube
Advanced Training Sport Club
Águas Bravas Clube
Amarante Futebol Clube
Amarante Golf Club
Amarante Sport Club
Amarantus Aquatic Club
Associação Académica Amarantina
Associação Amarante Automóveis Antigos
Associação Columbófila de Figueiró Santiago
Associação Cultural Desportiva e Recreativa “Os Unidos da Torre”
Associação Cultural Desportiva e Recreativa de Ansiães
Associação Cultural Desportiva e Recreativa de Freixo de Baixo
Associação Cultural Desportiva e Recreativa de Santiago
Associação Cultural e Desportiva da Madalena
Associação Cultural e Desportiva de Telões
Associação Cultural e Recreativa de Gatão
Associação de Caça e Pesca do Marão
Associação de Caçadores de Carneiro
Associação de Cicloturismo de Figueiró Santiago
Associação Desportiva Cultural e Recreativa de Figueiró Santiago
Associação Desportiva de Amarante
Associação Desportiva de Freixo de Cima
Associação Desportiva de Fridão
Associação Desportiva de Lufrei
Associação Desportiva de S. Martinho - Todeia
Associação Desportiva de Vila Caiz
Associação Desportiva de Vila Chã do Marão
Associação Desportiva de Vilarinho
Associação Desportiva e Cénica de Olo
Associação Desportiva e Recreativa de Vila Garcia
Associação Desportiva Padronelo Futebol Clube
Associação Desportiva Recreativa e Cultural Estradinha Futebol Clube
Associação Viver Canadelo e Serra do Marão
Atlético Club Campo da Feira
Atlético Clube de Vila Meã
Atlético Sport Club Amarantino
Aventura Marão Clube
Bicimarante – Associação Cicloturismo Cultural e Recreativa de Gatão
Bustelo Futebol Clube
Carneiro Futebol Clube
Centro Columbófilo de Amarante
Centro Columbófilo de Serrinha
Centro Columbófilo de Vila Meã
Centro Desportivo de Frariz
Clube Atlético de Fridão
Clube Automóvel de Amarante
Clube de Atletismo do Tâmega
Clube de Caça e Pesca de Vila Meã
Clube de Caçadores de Amarante
Clube de Pesca de Amarante
Clube de Ténis de Amarante
Clube Desportivo de Jazente
Clube Desportivo de Louredo
Clube Fluvial de Amarante
Desportivo de Moure
Desportivo Tâmega Amarantino
Douro e Tâmega Expedições
Federação das Associações Desportivas de Amarante 
Fregim Futebol Clube
Fridão Sem Limites
Futebol Clube de Murgido
Futebol Clube Mourense
Futebol Clube Operário Amarantino
Grupo Coral Desportivo e Recreativo “Estrelas da Paz”
Grupo Cultural e Desportivo de Vila Caiz
Grupo de Caçadores e Pescadores Desportivos da Estradinha
Grupo Desportivo “Estrelas do Marão”
Grupo Desportivo Alberto Marinho
Grupo Desportivo de Água Nova
Grupo Desportivo de Cepelos
Grupo Desportivo de Real
Grupo Desportivo e Cultural Campofeirense
Grupo Desportivo e Recreativo de Santa Cristina
Grupo Desportivo e Recreativo de Telões
Grupo Desportivo e Recreativo de Travanca
Grupo Desportivo Gato Negro
Grupo Desportivo S. Martinho de Mancelos
Grupo Desportivo Tabopan
Grupo Recreativo de Pidre
Industrial Futebol Clube
Lomba Sport Clube de Amarante
Luzitano Atlético Club
Mancelos Futebol Clube “Os Leões”
Motoclube de Amarante
Olo Futebol Clube
Os Malteses – Centro Cultural e Recreativo
Os Zeladores – Associação Desportiva e Recreativa
Racing Motor Clube de Aboim
Slot Clube de Amarante
Sport Club de Jazente
Sport Club de Padronelo
Sport Clube Cultural do Padrão
Sport Clube de Pidre
Sport Clube Salvadorense
Sport Lisboa e Amarante
Sport Lisboa e Padronelo
Sporting Club Amarantino
Sporting Futebol Club de Gondarense
Telões Futebol Clube
Terríveis – Clube Aventura
União Desportiva da Lomba 
União Desportiva e Cultural de Gondar
União Desportiva e Cultural de Moure
União Desportiva e Cultural de Várzea
União Desportiva e Recreativa da Burgada
Voo Raso Aeromodelismo
